"subject_uri","target_uri","field","birthYear"
"http://dbpedia.org/resource/Galileo_Galilei","http://dbpedia.org/resource/Engineering","Engineering",1564
"http://dbpedia.org/resource/Galileo_Galilei","http://dbpedia.org/resource/Physics","Physics",1564
"http://dbpedia.org/resource/Galileo_Galilei","http://dbpedia.org/resource/Astronomy","Astronomy",1564
"http://dbpedia.org/resource/Galileo_Galilei","http://dbpedia.org/resource/Natural_philosophy","Natural philosophy",1564
"http://dbpedia.org/resource/Tommaso_Campanella","http://dbpedia.org/resource/Astrologer","Astrologer",1568
"http://dbpedia.org/resource/Tommaso_Campanella","http://dbpedia.org/resource/Philosopher","Philosopher",1568
"http://dbpedia.org/resource/Marino_Ghetaldi","http://dbpedia.org/resource/Mathematician","Mathematician",1568
"http://dbpedia.org/resource/Marino_Ghetaldi","http://dbpedia.org/resource/Physicist","Physicist",1568
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/resource/Mathematician","Mathematician",1570
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/resource/Jurist","Jurist",1570
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/resource/Astronomer","Astronomer",1570
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/resource/Astrologer","Astrologer",1570
"http://dbpedia.org/resource/Johannes_Kepler","http://dbpedia.org/resource/Mathematics","Mathematics",1571
"http://dbpedia.org/resource/Johannes_Kepler","http://dbpedia.org/resource/Astrology","Astrology",1571
"http://dbpedia.org/resource/Johannes_Kepler","http://dbpedia.org/resource/Astronomy","Astronomy",1571
"http://dbpedia.org/resource/Johannes_Kepler","http://dbpedia.org/resource/Natural_philosophy","Natural philosophy",1571
"http://dbpedia.org/resource/Adriaan_Metius","http://dbpedia.org/resource/Geometry","Geometry",1571
"http://dbpedia.org/resource/Adriaan_Metius","http://dbpedia.org/resource/Astronomer","Astronomer",1571
"http://dbpedia.org/resource/Johann_Bayer","http://dbpedia.org/resource/Astronomy","Astronomy",1572
"http://dbpedia.org/resource/Johann_Bayer","http://dbpedia.org/resource/Jurisprudence","Jurisprudence",1572
"http://dbpedia.org/resource/Simon_Marius","http://dbpedia.org/resource/Astronomy","Astronomy",1573
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/resource/Astrologer","Astrologer",1574
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/resource/Physician","Physician",1574
"http://dbpedia.org/resource/Anne_Turner_(murderer)","http://dbpedia.org/resource/Maidservant","Maidservant",1576
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/resource/Mathematician","Mathematician",1577
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/resource/Astronomer","Astronomer",1577
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/resource/Jesuit","Jesuit",1577
"http://dbpedia.org/resource/Benedetto_Castelli","http://dbpedia.org/resource/Mathematician","Mathematician",1578
"http://dbpedia.org/resource/Willebrord_Snellius","http://dbpedia.org/resource/Mathematics","Mathematics",1580
"http://dbpedia.org/resource/Willebrord_Snellius","http://dbpedia.org/resource/Astronomy","Astronomy",1580
"http://dbpedia.org/resource/Godfried_Wendelen","http://dbpedia.org/resource/Patristics","Patristics",1580
"http://dbpedia.org/resource/Godfried_Wendelen","http://dbpedia.org/resource/Astronomy","Astronomy",1580
"http://dbpedia.org/resource/Godfried_Wendelen","http://dbpedia.org/resource/Metereology","Metereology",1580
"http://dbpedia.org/resource/Claude_Gaspar_Bachet_de_Méziriac","http://dbpedia.org/resource/Mathematician","Mathematician",1581
"http://dbpedia.org/resource/John_Bainbridge_(astronomer)","http://dbpedia.org/resource/Astronomy","Astronomy",1582
"http://dbpedia.org/resource/Deodat_del_Monte","http://dbpedia.org/resource/Painting","Painting",1582
"http://dbpedia.org/resource/Deodat_del_Monte","http://dbpedia.org/resource/Architecture","Architecture",1582
"http://dbpedia.org/resource/Deodat_del_Monte","http://dbpedia.org/resource/Astronomy","Astronomy",1582
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/resource/Mathematician","Mathematician",1582
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/resource/Scientist","Scientist",1582
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/resource/Philosopher","Philosopher",1582
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/resource/Jesuit","Jesuit",1582
"http://dbpedia.org/resource/Niccolò_Zucchi","http://dbpedia.org/resource/Astronomy","Astronomy",1586
"http://dbpedia.org/resource/Peter_Turner_(mathematician)","http://dbpedia.org/resource/Mathematician","Mathematician",1586
"http://dbpedia.org/resource/Kaspar_Uttenhofer","http://dbpedia.org/resource/Astronomer","Astronomer",1588
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/resource/Natural_history","Natural history",1588
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/resource/Physician","Physician",1588
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/resource/Antiquary","Antiquary",1588
"http://dbpedia.org/resource/Johann_Adam_Schall_von_Bell","http://dbpedia.org/resource/Religion","Religion",1591
"http://dbpedia.org/resource/Johann_Adam_Schall_von_Bell","http://dbpedia.org/resource/Astronomy","Astronomy",1591
"http://dbpedia.org/resource/Daniel_Hay_du_Chastelet_de_Chambon","http://dbpedia.org/resource/Mathematician","Mathematician",1596
"http://dbpedia.org/resource/Giovanni_Battista_Riccioli","http://dbpedia.org/resource/Geography","Geography",1598
"http://dbpedia.org/resource/Giovanni_Battista_Riccioli","http://dbpedia.org/resource/Chronology","Chronology",1598
"http://dbpedia.org/resource/Giovanni_Battista_Riccioli","http://dbpedia.org/resource/Astronomy","Astronomy",1598
"http://dbpedia.org/resource/Giovanni_Battista_Riccioli","http://dbpedia.org/resource/Experimental_physics","Experimental physics",1598
"http://dbpedia.org/resource/Bonaventura_Cavalieri","http://dbpedia.org/resource/Mathematics","Mathematics",1598
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/resource/Mathematician","Mathematician",1601
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/resource/Historian","Historian",1601
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/resource/Astronomer","Astronomer",1601
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/resource/Dialectologist","Dialectologist",1601
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/resource/Physicist","Physicist",1601
"http://dbpedia.org/resource/Florimond_de_Beaune","http://dbpedia.org/resource/Mathematics","Mathematics",1601
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/resource/Translator","Translator",1602
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/resource/Author","Author",1602
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/resource/Astrology","Astrology",1602
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/resource/Astrologer","Astrologer",1602
"http://dbpedia.org/resource/Gilles_de_Roberval","http://dbpedia.org/resource/Mathematician","Mathematician",1602
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/resource/Monk","Monk",1603
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/resource/Mathematician","Mathematician",1603
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/resource/Astronomer","Astronomer",1603
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/resource/Astrologer","Astrologer",1603
