,relation,periode,effectif
463,Germany-United Kingdom,1901-1950,9
464,Germany-United Kingdom,1951-2000,4
465,Germany-United States of America,1451-1800,0
466,Germany-United States of America,1801-1850,0
467,Germany-United States of America,1851-1900,5
468,Germany-United States of America,1901-1950,7
469,Germany-United States of America,1951-2000,2
470,Greece-United States of America,1451-1800,0
471,Greece-United States of America,1801-1850,0
472,Greece-United States of America,1851-1900,0
473,Greece-United States of America,1901-1950,1
474,Greece-United States of America,1951-2000,0
475,Hungary-Austria,1451-1800,1
476,Hungary-Austria,1801-1850,0
477,Hungary-Austria,1851-1900,0
478,Hungary-Austria,1901-1950,0
479,Hungary-Austria,1951-2000,0
480,Hungary-Canada,1451-1800,0
481,Hungary-Canada,1801-1850,0
482,Hungary-Canada,1851-1900,0
483,Hungary-Canada,1901-1950,0
484,Hungary-Canada,1951-2000,1
485,Hungary-Czechia,1451-1800,1
486,Hungary-Czechia,1801-1850,0
487,Hungary-Czechia,1851-1900,0
488,Hungary-Czechia,1901-1950,0
489,Hungary-Czechia,1951-2000,0
490,Hungary-Germany,1451-1800,0
491,Hungary-Germany,1801-1850,0
492,Hungary-Germany,1851-1900,1
493,Hungary-Germany,1901-1950,1
494,Hungary-Germany,1951-2000,0
495,Hungary-Hungary,1451-1800,0
496,Hungary-Hungary,1801-1850,0
497,Hungary-Hungary,1851-1900,0
498,Hungary-Hungary,1901-1950,5
499,Hungary-Hungary,1951-2000,1
500,Hungary-Israel,1451-1800,0
501,Hungary-Israel,1801-1850,0
502,Hungary-Israel,1851-1900,0
503,Hungary-Israel,1901-1950,1
504,Hungary-Israel,1951-2000,0
505,Hungary-Palestine,1451-1800,0
506,Hungary-Palestine,1801-1850,0
507,Hungary-Palestine,1851-1900,0
508,Hungary-Palestine,1901-1950,1
509,Hungary-Palestine,1951-2000,0
510,Hungary-Poland,1451-1800,1
511,Hungary-Poland,1801-1850,0
512,Hungary-Poland,1851-1900,0
513,Hungary-Poland,1901-1950,0
514,Hungary-Poland,1951-2000,0
515,Hungary-United Kingdom,1451-1800,0
516,Hungary-United Kingdom,1801-1850,0
517,Hungary-United Kingdom,1851-1900,0
