"o1","birthYear"
"http://dbpedia.org/resource/Otto_Mencke",1644
"http://dbpedia.org/resource/Eusebio_Kino",1645
"http://dbpedia.org/resource/Arthur_Storer",1645
"http://dbpedia.org/resource/Thomas_Pereira",1645
"http://dbpedia.org/resource/John_Flamsteed",1646
"http://dbpedia.org/resource/Charles_Honoré_d'Albert,_duc_de_Luynes",1646
"http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz",1646
"http://dbpedia.org/resource/Giovanni_Ceva",1647
"http://dbpedia.org/resource/Tommaso_Ceva",1648
"http://dbpedia.org/resource/Ehrenfried_Walther_von_Tschirnhaus",1651
"http://dbpedia.org/resource/Guy_Tachard",1651
"http://dbpedia.org/resource/Michel_Rolle",1652
"http://dbpedia.org/resource/John_Benbow",1653
"http://dbpedia.org/resource/Pierre_Varignon",1654
"http://dbpedia.org/resource/Domenico_Guglielmini",1655
"http://dbpedia.org/resource/William_Molyneux",1656
"http://dbpedia.org/resource/Nicolaas_Hartsoeker",1656
"http://dbpedia.org/resource/Sébastien_Truchet",1657
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659
"http://dbpedia.org/resource/Jacob_Roggeveen",1659
"http://dbpedia.org/resource/Thomas_Fantet_de_Lagny",1660
"http://dbpedia.org/resource/Guillaume_de_l'Hôpital",1661
"http://dbpedia.org/resource/John_Craig_(mathematician)",1663
"http://dbpedia.org/resource/Nicolas_Fatio_de_Duillier",1664
"http://dbpedia.org/resource/Johannes_Kelpius",1667
"http://dbpedia.org/resource/William_Whiston",1667
"http://dbpedia.org/resource/Abraham_de_Moivre",1667
"http://dbpedia.org/resource/Johann_Bernoulli",1667
"http://dbpedia.org/resource/Jacob_Bruce",1669
"http://dbpedia.org/resource/Maria_Margaretha_Kirch",1670
"http://dbpedia.org/resource/Frederick_IV_of_Denmark",1671
"http://dbpedia.org/resource/John_Keill",1671
"http://dbpedia.org/resource/George_Cheyne_(physician)",1672
"http://dbpedia.org/resource/Richard_Mead",1673
"http://dbpedia.org/resource/Eustachio_Manfredi",1674
"http://dbpedia.org/resource/Yves_Marie_André",1675
"http://dbpedia.org/resource/William_Jones_(mathematician)",1675
"http://dbpedia.org/resource/Jacopo_Riccati",1676
"http://dbpedia.org/resource/Jacques_Cassini",1677
"http://dbpedia.org/resource/Jean-Jacques_d'Ortous_de_Mairan",1678
"http://dbpedia.org/resource/Pierre_Remond_de_Montmort",1678
"http://dbpedia.org/resource/Peder_Horrebow",1679
"http://dbpedia.org/resource/Johann_Wilhelm_Wagner",1681
"http://dbpedia.org/resource/Gabriele_Manfredi",1681
"http://dbpedia.org/resource/Roger_Cotes",1682
"http://dbpedia.org/resource/John_Hadley",1682
"http://dbpedia.org/resource/Brook_Taylor",1685
"http://dbpedia.org/resource/Niccolò_Gianpriamo",1686
"http://dbpedia.org/resource/Sámuel_Mikoviny",1686
"http://dbpedia.org/resource/Robert_Simson",1687
"http://dbpedia.org/resource/Joseph-Nicolas_Delisle",1688
"http://dbpedia.org/resource/Emanuel_Swedenborg",1688
"http://dbpedia.org/resource/Samuel_Molyneux",1689
"http://dbpedia.org/resource/Robert_Smith_(mathematician)",1689
"http://dbpedia.org/resource/Christian_Goldbach",1690
"http://dbpedia.org/resource/Carlo_Lodoli",1690
"http://dbpedia.org/resource/Alessandro_Galilei",1691
"http://dbpedia.org/resource/Christian_August_Hausen",1693
"http://dbpedia.org/resource/Christfried_Kirch",1694
"http://dbpedia.org/resource/Balanos_Vasilopoulos",1694
"http://dbpedia.org/resource/John_Bevis",1695
"http://dbpedia.org/resource/Pierre_Louis_Maupertuis",1698
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani",1699
"http://dbpedia.org/resource/Nathaniel_Bliss",1700
"http://dbpedia.org/resource/Daniel_Bernoulli",1700
"http://dbpedia.org/resource/Charles_Haros",1700
"http://dbpedia.org/resource/Anders_Celsius",1701
"http://dbpedia.org/resource/Charles_Marie_de_La_Condamine",1701
"http://dbpedia.org/resource/William_Emerson_(mathematician)",1701
"http://dbpedia.org/resource/Ferdinand_Augustin_Hallerstein",1703
"http://dbpedia.org/resource/Pedro_Vicente_Maldonado",1704
"http://dbpedia.org/resource/Louis_Godin",1704
"http://dbpedia.org/resource/Gabriel_Cramer",1704
"http://dbpedia.org/resource/Émilie_du_Châtelet",1706
"http://dbpedia.org/resource/Leonhard_Euler",1707
"http://dbpedia.org/resource/Pietro_De_Martino",1707
"http://dbpedia.org/resource/Vincenzo_Riccati",1707
"http://dbpedia.org/resource/Georges-Louis_Leclerc,_Comte_de_Buffon",1707
"http://dbpedia.org/resource/Thomas_Simpson",1710
"http://dbpedia.org/resource/James_Short_(mathematician)",1710
"http://dbpedia.org/resource/Stephen_Whisson",1710
"http://dbpedia.org/resource/Roger_Joseph_Boscovich",1711
"http://dbpedia.org/resource/Johann_Samuel_König",1712
"http://dbpedia.org/resource/Alexis_Clairaut",1713
"http://dbpedia.org/resource/Nicolas-Louis_de_Lacaille",1713
"http://dbpedia.org/resource/Jean_Godin_des_Odonais",1713
"http://dbpedia.org/resource/Jorge_Juan_y_Santacilia",1713
