id;nom;prenom;genre;election;district;candidature
75;boss;berthold;M;election_parlement;le_locle;1973
76;huguenin;marianne;F;election_parlement;le_locle;1973
77;blaser;jean-pierre;M;election_parlement;le_locle;1977
79;debieux;charly;M;election_parlement;le_locle;1977
80;guyot;jean;M;election_parlement;le_locle;1977
81;scheurer;thomas;M;election_parlement;le_locle;1977
82;corswant;andre;M;election_parlement;la_chaux-de-fonds;1953
83;roulet;charles;M;election_parlement;la_chaux-de-fonds;1953
84;steiger;jean;M;election_parlement;la_chaux-de-fonds;1953
85;vuilleumier;maurice;M;election_parlement;la_chaux-de-fonds;1953
86;costet;marcel;M;election_parlement;la_chaux-de-fonds;1953
87;pellaton;eugène;M;election_parlement;la_chaux-de-fonds;1957
88;imhof;gilbert;M;election_parlement;la_chaux-de-fonds;1957
89;weber;alexandre;M;election_parlement;la_chaux-de-fonds;1953
90;thomi;philippe;M;election_parlement;la_chaux-de-fonds;1953
91;beguin;albert;M;election_parlement;la_chaux-de-fonds;1953
92;beuret;robert;M;election_parlement;la_chaux-de-fonds;1953
94;broillet;etienne;M;election_parlement;la_chaux-de-fonds;1961
95;bruhlhart;georges;M;election_parlement;la_chaux-de-fonds;1961
97;gerber;christian;M;election_parlement;la_chaux-de-fonds;1957
99;jacot;pierre;M;election_parlement;la_chaux-de-fonds;1961
100;lengacher;madeleine;F;election_parlement;la_chaux-de-fonds;1961
101;roulet;pierre;M;election_parlement;la_chaux-de-fonds;1961
102;schweizer;elisabeth;F;election_parlement;la_chaux-de-fonds;1961
103;calame;samuel;M;election_parlement;la_chaux-de-fonds;1961
104;dubois;lucien;M;election_parlement;la_chaux-de-fonds;1961
105;hauser;alfred;M;election_parlement;la_chaux-de-fonds;1961
106;hirsch;pierre;M;election_parlement;la_chaux-de-fonds;1961
107;john;pierre;M;election_parlement;la_chaux-de-fonds;1961
108;kramer;jacques;M;election_parlement;la_chaux-de-fonds;1961
109;blant;rene;M;election_parlement;la_chaux-de-fonds;1965
110;dubois;andre;M;election_parlement;la_chaux-de-fonds;1965
111;dubois;jean-pierre;M;election_parlement;la_chaux-de-fonds;1965
112;froidevaux;denis;M;election_parlement;la_chaux-de-fonds;1965
